PID,Ethnicity,share,Age,Gender,Village,Condition
D252,Bandongo,YES,6,M,Village1,intra
D037_DJ,Bandongo,YES,12,F,Village1,intra
D256,BaYaka,YES,9,M,Village1,intra
D257,Bandongo,NO,9,F,Village1,intra
D095,Bandongo,NO,9,M,Village1,intra
D231,BaYaka,YES,9,F,Village1,intra
D258,Bandongo,NO,7,M,Village1,intra
D038,Bandongo,NO,8,F,Village1,intra
D238,BaYaka,YES,10,M,Village1,intra
D012,Bandongo,NOT_SURE,5,F,Village1,intra
D100,Bandongo,NO,7,M,Village1,intra
D230,BaYaka,YES,8,F,Village1,intra
D199,Bandongo,NOT_SURE,17,M,Village1,intra
D010,Bandongo,YES,33,M,Village1,intra
D233,BaYaka,YES,6,M,Village1,intra
D096,Bandongo,NO,33,M,Village1,intra
D031,Bandongo,YES,17,M,Village1,intra
D235,BaYaka,YES,11,M,Village1,intra
D259,Bandongo,YES,22,M,Village1,intra
D054,Bandongo,YES,27,M,Village1,intra
D242_DJ,BaYaka,YES,10,M,Village1,intra
D039,Bandongo,YES,23,F,Village1,intra
D036,Bandongo,NO,49,F,Village1,intra
D101,Bandongo,NO,37,M,Village1,intra
D129,BaYaka,YES,33,M,Village1,intra
D092,Bandongo,YES,50,M,Village1,intra
D260,Bandongo,YES,34,F,Village1,intra
D170,BaYaka,YES,58,M,Village1,intra
D029,Bandongo,YES,46,F,Village1,intra
D146,BaYaka,YES,35,M,Village1,intra
D025,Bandongo,YES,26,F,Village1,intra
D024,Bandongo,YES,18,F,Village1,intra
D102,Bandongo,YES,37,F,Village1,intra
D261,BaYaka,YES,35,M,Village1,intra
D262,BaYaka,YES,53,M,Village1,intra
D180,BaYaka,YES,50,M,Village1,intra
D159,BaYaka,YES,33,F,Village1,intra
D263,BaYaka,YES,35,F,Village1,intra
D141,BaYaka,YES,27,F,Village1,intra
D174,BaYaka,YES,47,F,Village1,intra
D076,Bandongo,YES,38,M,Village1,intra
D268,Bandongo,NO,37,M,Village1,intra
D264,BaYaka,YES,47,F,Village1,intra
D269,Bandongo,NO,28,F,Village1,intra
D265,BaYaka,YES,41,F,Village1,intra
D266,BaYaka,YES,50,F,Village1,intra
D267,BaYaka,YES,39,M,Village1,intra
D270,BaYaka,YES,39,F,Village1,intra
D171,BaYaka,YES,74,M,Village1,intra
D272,BaYaka,YES,68,F,Village1,intra
D271,BaYaka,YES,40,F,Village1,intra
D273,BaYaka,YES,36,F,Village1,intra
D243,BaYaka,YES,7,M,Village1,intra
XFWJ,BaYaka,YES,11.59589,M,Village2,inter
6PTD,BaYaka,NO_RESPONSE,12.6,M,Village2,inter
F68C,BaYaka,YES,69.175342,F,Village2,inter
17RU,BaYaka,YES,11.09589,M,Village2,inter
NEW116,BaYaka,NO,11,F,Village2,inter
NEW154,BaYaka,YES,6,M,Village2,inter
9FCB,BaYaka,YES,6.59589,F,Village2,inter
91A2,BaYaka,NO,6.59589,F,Village2,inter
33AD,BaYaka,YES,7.975342,F,Village2,inter
D164,BaYaka,YES,16.1,F,Village2,inter
4D71,BaYaka,YES,13.59589,M,Village2,inter
3BD9,BaYaka,YES,10.59589,M,Village2,inter
CXA8,BaYaka,YES,8.59589,F,Village2,inter
EA09,BaYaka,YES,33.325342,F,Village2,inter
A80E,BaYaka,YES,27,F,Village2,inter
NEW043,BaYaka,YES,10,M,Village2,inter
6F00,BaYaka,YES,46.09589,F,Village2,inter
